label,h,d,h_prime,k,a,w,l,swn,mmax,security,size,keygen_C,sign_C,verify_C,verify_worst_C,c_per_byte,c_per_byte_worst
w=256,50,2,25,6,20,256,18,0,0,128.0,3408,154820149247.0,309659172862.0,4780.0,8860.0,1.4025821596244132,2.5997652582159625
w=256,50,2,25,7,17,256,18,0,0,128.0,3408,154820149247.0,309643051006.0,4781.0,8861.0,1.40287558685446,2.6000586854460095
w=256,50,2,25,8,15,256,18,0,0,128.0,3440,154820149247.0,309641084925.0,4783.0,8863.0,1.390406976744186,2.576453488372093
w=256,46,2,23,7,18,256,18,0,0,128.0,3456,38705037311.0,77415579646.0,4784.0,8864.0,1.3842592592592593,2.564814814814815
w=256,44,2,22,8,16,256,18,0,0,128.0,3472,19352518655.0,38706610173.0,4785.0,8865.0,1.3781682027649769,2.5532834101382487
w=256,50,2,25,10,12,256,18,0,0,128.0,3472,154820149247.0,309640421371.0,4785.0,8865.0,1.3781682027649769,2.5532834101382487
w=256,46,2,23,9,14,256,18,0,0,128.0,3488,38705037311.0,77410516988.0,4786.0,8866.0,1.3721330275229358,2.541857798165138
w=256,48,2,24,7,18,256,18,0,0,128.0,3488,77410074623.0,154825654270.0,4786.0,8866.0,1.3721330275229358,2.541857798165138
w=256,42,2,21,7,19,256,18,0,0,128.0,3504,9676259327.0,19363528702.0,4787.0,8867.0,1.3661529680365296,2.5305365296803655
w=256,46,2,23,8,16,256,18,0,0,128.0,3504,38705037311.0,77411647485.0,4787.0,8867.0,1.3661529680365296,2.5305365296803655
w=256,50,2,25,11,11,256,18,0,0,128.0,3504,154820149247.0,309640366075.0,4788.0,8868.0,1.3664383561643836,2.530821917808219
w=256,50,2,25,12,10,256,18,0,0,128.0,3504,154820149247.0,309640335354.0,4788.0,8868.0,1.3664383561643836,2.530821917808219
w=256,48,2,24,9,14,256,18,0,0,128.0,3520,77410074623.0,154820591612.0,4788.0,8868.0,1.3602272727272726,2.519318181818182
w=256,50,2,25,7,18,256,18,0,0,128.0,3520,154820149247.0,309645803518.0,4788.0,8868.0,1.3602272727272726,2.519318181818182
w=256,44,2,22,7,19,256,18,0,0,128.0,3536,19352518655.0,38716047358.0,4789.0,8869.0,1.3543552036199096,2.5082013574660635
w=256,48,2,24,8,16,256,18,0,0,128.0,3536,77410074623.0,154821722109.0,4789.0,8869.0,1.3543552036199096,2.5082013574660635
w=256,50,2,25,9,14,256,18,0,0,128.0,3552,154820149247.0,309640740860.0,4790.0,8870.0,1.3485360360360361,2.497184684684685
w=256,42,2,21,8,17,256,18,0,0,128.0,3568,9676259327.0,19355664381.0,4791.0,8871.0,1.3427690582959642,2.4862668161434978
w=256,42,2,21,9,15,256,18,0,0,128.0,3568,9676259327.0,19353403388.0,4791.0,8871.0,1.3427690582959642,2.4862668161434978
w=256,46,2,23,7,19,256,18,0,0,128.0,3568,38705037311.0,77421084670.0,4791.0,8871.0,1.3427690582959642,2.4862668161434978
w=256,46,2,23,10,13,256,18,0,0,128.0,3568,38705037311.0,77410320379.0,4791.0,8871.0,1.3427690582959642,2.4862668161434978
w=256,50,2,25,8,16,256,18,0,0,128.0,3568,154820149247.0,309641871357.0,4791.0,8871.0,1.3427690582959642,2.4862668161434978
w=256,40,2,20,7,20,256,18,0,0,128.0,3584,4838129663.0,9698279422.0,4792.0,8872.0,1.3370535714285714,2.4754464285714284
w=256,44,2,22,11,12,256,18,0,0,128.0,3584,19352518655.0,38705172475.0,4793.0,8873.0,1.3373325892857142,2.4757254464285716
w=256,44,2,22,8,17,256,18,0,0,128.0,3600,19352518655.0,38708183037.0,4793.0,8873.0,1.331388888888889,2.464722222222222
w=256,44,2,22,9,15,256,18,0,0,128.0,3600,19352518655.0,38705922044.0,4793.0,8873.0,1.331388888888889,2.464722222222222
w=256,48,2,24,7,19,256,18,0,0,128.0,3600,77410074623.0,154831159294.0,4793.0,8873.0,1.331388888888889,2.464722222222222
w=256,48,2,24,10,13,256,18,0,0,128.0,3600,77410074623.0,154820395003.0,4793.0,8873.0,1.331388888888889,2.464722222222222
w=256,48,2,24,14,9,256,18,0,0,128.0,3600,77410074623.0,154820170744.0,4794.0,8874.0,1.3316666666666668,2.465
w=256,42,2,21,7,20,256,18,0,0,128.0,3616,9676259327.0,19374538750.0,4794.0,8874.0,1.3257743362831858,2.4540929203539825
w=256,46,2,23,11,12,256,18,0,0,128.0,3616,38705037311.0,77410209787.0,4795.0,8875.0,1.3260508849557522,2.4543694690265485
w=256,46,2,23,13,10,256,18,0,0,128.0,3616,38705037311.0,77410114553.0,4795.0,8875.0,1.3260508849557522,2.4543694690265485
w=256,46,2,23,8,17,256,18,0,0,128.0,3632,38705037311.0,77413220349.0,4795.0,8875.0,1.3202092511013215,2.443557268722467
w=256,46,2,23,9,15,256,18,0,0,128.0,3632,38705037311.0,77410959356.0,4795.0,8875.0,1.3202092511013215,2.443557268722467
w=256,46,2,23,12,11,256,18,0,0,128.0,3632,38705037311.0,77410148346.0,4796.0,8876.0,1.3204845814977975,2.443832599118943
w=256,50,2,25,7,19,256,18,0,0,128.0,3632,154820149247.0,309651308542.0,4795.0,8875.0,1.3202092511013215,2.443557268722467
w=256,50,2,25,10,13,256,18,0,0,128.0,3632,154820149247.0,309640544251.0,4795.0,8875.0,1.3202092511013215,2.443557268722467
w=256,50,2,25,14,9,256,18,0,0,128.0,3632,154820149247.0,309640319992.0,4796.0,8876.0,1.3204845814977975,2.443832599118943
w=256,44,2,22,7,20,256,18,0,0,128.0,3648,19352518655.0,38727057406.0,4796.0,8876.0,1.3146929824561404,2.433114035087719
w=256,48,2,24,11,12,256,18,0,0,128.0,3648,77410074623.0,154820284411.0,4797.0,8877.0,1.314967105263158,2.4333881578947367
w=256,48,2,24,13,10,256,18,0,0,128.0,3648,77410074623.0,154820189177.0,4797.0,8877.0,1.314967105263158,2.4333881578947367
w=256,40,2,20,8,18,256,18,0,0,128.0,3664,4838129663.0,9682550781.0,4797.0,8877.0,1.3092248908296944,2.4227620087336246
w=256,42,2,21,10,14,256,18,0,0,128.0,3664,9676259327.0,19353010171.0,4797.0,8877.0,1.3092248908296944,2.4227620087336246
w=256,48,2,24,8,17,256,18,0,0,128.0,3664,77410074623.0,154823294973.0,4797.0,8877.0,1.3092248908296944,2.4227620087336246
w=256,48,2,24,9,15,256,18,0,0,128.0,3664,77410074623.0,154821033980.0,4797.0,8877.0,1.3092248908296944,2.4227620087336246
w=256,48,2,24,12,11,256,18,0,0,128.0,3664,77410074623.0,154820222970.0,4798.0,8878.0,1.3094978165938864,2.4230349344978164
w=256,48,2,24,16,8,256,18,0,0,128.0,3664,77410074623.0,154820161527.0,4799.0,8879.0,1.3097707423580787,2.4233078602620086
w=256,40,2,20,9,16,256,18,0,0,128.0,3680,4838129663.0,9678028796.0,4798.0,8878.0,1.303804347826087,2.4125
w=256,46,2,23,7,20,256,18,0,0,128.0,3680,38705037311.0,77432094718.0,4798.0,8878.0,1.303804347826087,2.4125
w=256,50,2,25,11,12,256,18,0,0,128.0,3680,154820149247.0,309640433659.0,4799.0,8879.0,1.3040760869565218,2.412771739130435
w=256,50,2,25,13,10,256,18,0,0,128.0,3680,154820149247.0,309640338425.0,4799.0,8879.0,1.3040760869565218,2.412771739130435
w=256,42,2,21,8,18,256,18,0,0,128.0,3696,9676259327.0,19358810109.0,4799.0,8879.0,1.2984307359307359,2.40232683982684
w=256,44,2,22,10,14,256,18,0,0,128.0,3696,19352518655.0,38705528827.0,4799.0,8879.0,1.2984307359307359,2.40232683982684
w=256,50,2,25,8,17,256,18,0,0,128.0,3696,154820149247.0,309643444221.0,4799.0,8879.0,1.2984307359307359,2.40232683982684
w=256,50,2,25,9,15,256,18,0,0,128.0,3696,154820149247.0,309641183228.0,4799.0,8879.0,1.2984307359307359,2.40232683982684
